term;explanation;source
Немецкая овчарка;Порода собак, изначально использовалась в качестве пастушьей и служебно-разыскной собаки. Эта порода была получена в результате селекции и скрещивания некоторых разновидностей гуртовых собак Центральной и Южной Германии. Различают гладкошёрстную и длинношёрстную разновидности. Мускулистые и сильные собаки среднего размера, голова клинообразная, уши  стоячие с широкими основаниями и острыми кончиками, параллельны друг другу.;db
Чихуахуа;Считается самой маленькой собакой в мире и носит имя мексиканского штата. Имеет компактный корпус и отличается бойким и смелым характером. Эта порода занимает одно из самых значительных мест в истории древнего и современного собаководства, она оказала значительное влияние на формирование других карликовых пород. Однако у породы есть ряд достоинств и преимуществ перед другими миниатюрными собаками: крепкое здоровье, высокий интеллект, контактность и покладистый характер.;db
Померанский шпиц;Порода относится к категории пород примитивного происхождения, является самым маленьким представителем своей категории. У данной породы мягкая набивная пушистая шерсть, клинообразная голова, короткая небольшая мордочка и пушистый лоб, линяют они не часто. Представители этой породы обладают весёлым, игривым и добрым нравом и преданным характером. Несмотря на малый рост, могут за себя постоять. любят движение, прогулки на свежем воздухе и игры.;db
Сибирский хаски; Заводская специализированная порода собак, выведенная чукчами северо-восточной части Сибири и зарегистрированная американскими кинологами в 1930-х годах как ездовая собака, полученная от аборигенных собак Дальнего Востока России. Эта аборигенная ездовая собака является одной из древнейших пород собак, а в настоящее время выведенная порода используется не только как ездовая, но и как собака-компаньон и шоу-выставочная собака и собака поводырь. Собака среднего роста, с компактным телосложением, шерстный покров достаточно густой, с хорошо развитым подшерстком, уши прямостоячие, хвост имеет форму пера. Характер дружелюбный и спокойный, но вместе с этим живой.;db
Такса;Порода южно-немецких норных охотничьих собак. Немецкое название происходит от слов «барсук» и «собака», и потому раньше её нередко называли «барсучьей собакой». Крепкая, с массивным костяком собака, прочно стоящая на земле, с длинной вытянутой мордой, ушки длинные, мягкие, закругляются на концах. По характеру дружелюбная, смелая, не агрессивная собака с уравновешенным темпераментом. Страстная, выносливая, проворная охотничья собака с хорошим чутьем.;db
Мейн-кун;Порода кошек, которая произошла от кошек штата на северо-востоке США. Аборигенная порода кошек Северной Америки. Название является производным от двух слов. Первое — это название штата, а второе — производное от енот (на английском). Старейшая американская порода кошек. Крупнейшая порода кошек, длина тела составляет метр и более, все особи породы имеют небольшие кисточки на кончиках ушей. Шерсть мягкая и шелковистая, подвержена сезонным изменениям, ак и у многих аборигенных пород. Шерсть отлично приспособлена к суровому и холодному климату, плотный подшёрсток на животе и удлинённый волос на задних лапах позволяют сидеть на снегу и льду.;db
Канадский сфинкс;Одна из нескольких бесшерстных пород кошек. Очень ласковые и умные, но всё же их дальнейшее поведение зависит от воспитания людей. Они легко поддаются дрессировке и у них хорошая память. Кошки этой породы не терпят одиночества и обычно очень привязаны к хозяевам. Представители данной породы не полностью голые, у них существуют разные степени «лысости». Это может быть тонкий пушок, делающий кошку на ощупь напоминающей персик, отдельные короткие волоски обычно присутствуют на носу, ушах и, иногда, на пальцах и хвосте. Кошки среднего размера, довольно крепкие, не хрупкие.;db
Корниш-рекс;Порода домашних кошек, относящаяся к короткошёрстной группе. Основной отличительной особенностью их экстерьера является шерсть: она не имеет остевых волосков, а подшёрсток завит в плотную волну. Первое слово названия породы кошек указывает на место их появления, а второе — общее для названий всех кошек с волнистой шерстью, было заимствовано у породы кроликов. Неожиданно тяжелая и горячая при прикосновении кошка. Все контуры плавно изогнуты, голова относительно маленькая, яйцеобразной формы, уши большие, высоко и прямо поставлены, производят впечатление настороженных. Температура тела немного выше, чем у остальных кошек.;db
Манчкин;Современная порода кошек. При средней длине тела их лапы короче, чем у обычных кошек в 2-3 раза. Название породы заимствовано из книги Фрэнка Баума «Волшебник из страны Оз», где волшебную страну населял народ с малым ростом. Голова клиновидная с округлыми контурами, пропорциональный телу, уши более широкие в основании, с слегка закруглёнными кончиками. Данная порода не агрессивная, поэтому можно смело заводить в доме животное, если у вас есть маленькие дети. По отношению к хозяину коты достаточно ласковые и добрые, любят проводить время на руках.;db
Абиссинская кошка;Порода домашних кошек, выведенная в Великобритании на основе аборигенных пород кошек Восточной Африки и Юго-Восточной Азии, одна из самых древних пород кошек и одновременно одна из первых пород, получивших официальный выставочный стандарт. Имеет стройное, гармонично сложенное тело и обладает необычной, красочной шерстью, голова имеет форму немного округлённого клина, без плоских граней, уши насторожённые, умеренно заострённые. Порода отличается высоким интеллектом и живым темпераментом. Кошки этой породы активны, игривы, любопытны и очень контактны.;db
